Name,Component,DataType,Post Blackout,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13
DUMF1-,Busbar,Voltage,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698,1.009736698
KIBA5-,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0.996571416,1.00516866,0.993438231
CRAG0G,Busbar,Voltage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STCR5-_1,Generator,Active Power,0,0,4.512013134,4.512013134,5.018408732,5.526320882,26.1065934,30.83126762,22.33793886,30.23260409,24.33676215,41.74704906,33.11076172,35.99626988,30.8201139
CRAG0A_1,Generator,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG0B_1,Generator,Active Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWHC0G_1,Generator,Active Power,0,0,0,0,0,3.47E-18,6.94E-18,0,0,0,0,5,5,5,5
MINS0G_1,Generator,Active Power,0,0,0,0,0,0,1.11E-16,-1.11E-16,15,15,15,20,20,20,20
STCR5-_1,Generator,Reactive Power,0,0,-4.27148308,-4.27148308,-5.130511833,-4.587198385,-6.429542828,-7.16046626,-5.039149501,-5.10760113,-5.869141517,-2.096712183,-4.86234192,-4.684855973,-5.340144217
CRAG0A_1,Generator,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG0B_1,Generator,Reactive Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWHC0G_1,Generator,Reactive Power,0,0,0,0,0,-1.8002678,-0.366912414,1.289052376,3.944000006,3.878094494,2.14102859,3.944000006,3.75527221,3.941638299,2.985224262
MINS0G_1,Generator,Reactive Power,0,0,0,0,1.548650091,2.528155609,6.77253076,6.254602828,4.913045327,5.936512135,3.971373515,10.4639993,5.633434888,6.160353736,4.66313163
